칼테일 순번,맛,넘버링,알콜도수
1,약간 씁쓸한 맛,24,27
2,고소한 맛,1,34
3,달콤한 맛,6,16
4,달콤한 맛,6,16
5,달콤한 맛,6,14
6,약간 달콤한 맛,19,11
7,씁쓸한 맛,18,36
8,씁쓸한 맛,18,30
9,약간 씁쓸한 맛,24,25
10,약간 씁쓸한 맛,24,28
11,새콤달콤한 맛,15,41
12,"약간 신맛, 달콤한 맛",23,30
13,"달콤한 맛, 씁쓸한 맛",10,33
14,약간 달콤한 맛,19,36
15,약간 달콤한 맛,19,33
16,약간 씁쓸한 맛,24,3
17,달콤한 맛,6,36
18,달콤한 맛,6,32
19,깔끔한 맛,4,25
20,약간 새콤한 맛,21,30
21,약간 씁쓸한 맛,24,33
22,약간 달콤한 맛,19,25
23,달콤한 맛,6,15
24,약간 씁쓸한 맛,24,34
25,씁쓸한 맛,18,35
26,약간 씁쓸한 맛,24,32
27,약간 달콤한 맛,19,15
28,달콤한 맛,6,25
29,약간 씁쓸한 맛,24,8
30,약간 씁쓸한 맛,24,5
31,상큼한 맛,14,26
32,달콤한 맛,6,17
33,깔끔한 맛,4,18
34,약간 씁쓸한 맛,24,30
35,"약간 달콤한 맛, 과일향",20,25
36,달콤한 맛,6,13
37,씁쓸한 맛,18,16
38,"달콤한 맛, 부드러운 맛",8,15
39,깔끔한 맛,4,10
40,달콤한 맛,6,16
41,씁쓸한 맛,18,15
42,과일향,2,23
43,약간 달콤한 맛,19,12
44,약간 씁쓸한 맛,24,27
45,약간 씁쓸한 맛,24,30
46,달콤한 맛,6,32
47,약간 씁쓸한 맛,24,10
48,달콤한 맛,6,18
49,약간 씁쓸한 맛,24,15
50,약간 달콤한 맛,19,17
51,달콤한 맛,6,43
52,약간 씁쓸한 맛,24,10
53,과일향,2,32
54,"달콤한 맛, 신 맛",9,30
55,약간 씁쓸한 맛,24,20
56,약간 씁쓸한 맛,24,3
57,씁쓸한 맛,18,15
58,약간 씁쓸한 맛,24,15
59,상큼한 맛,14,26
60,약간 씁쓸한 맛,24,36
61,깔끔한 맛,4,25
62,새콤한 맛,16,25
63,상쾌한 맛,13,32
64,깔끔한 맛,4,5
65,씁쓸한 맛,18,5
66,약간 씁쓸한 맛,24,23
67,약간 씁쓸한 맛,24,25
68,새콤달콤한 맛,15,17
69,약간 씁쓸한 맛,24,16
70,약간 씁쓸한 맛,24,3
71,과일향,2,13
72,"커피 맛, 부드러운 맛",27,10
73,달콤한 맛,6,37
74,부드러운 맛,11,23
75,상쾌한 맛,13,30
76,깔끔한 맛,4,8
77,약간 달콤한 맛,19,26
78,달콤한 맛,6,10
79,약간 씁쓸한 맛,24,30
80,"약간 씁쓸한 맛, 과일향",25,24
81,약간 달콤한 맛,19,24
82,약간 씁쓸한 맛,24,32
83,상큼한 맛,14,20
84,깔끔한 맛,4,12
85,약간 달콤한 맛,19,18
86,씁쓸한 맛,18,30
87,씁쓸한 맛,18,13
88,씁쓸한 맛,18,13
89,약간 씁쓸한 맛,24,30
90,"부드러운 맛, 달콤한 맛",12,20
91,새콤한 맛,16,14
92,약간 달콤한 맛,19,33
93,상쾌한 맛,13,14
94,달콤한 맛,6,30
95,"과일향, 부드러운 맛",3,7
96,커피맛,26,20
97,씁쓸한 맛,18,10
98,약간 씁쓸한 맛,24,10
99,새콤달콤한 맛,15,13
100,"깔끔한 맛, 약간 새콤한 맛",5,7
101,깔끔한 맛,4,14
102,약간 달콤한 맛,19,26
103,약간 씁쓸한 맛,24,14
104,새콤한 맛,16,25
105,약간 달콤한 맛,19,27
106,달콤한 맛,6,12
107,약간 신맛,22,15
108,약간 달콤한 맛,19,20
109,깔끔한 맛,4,16
110,과일향,2,25
111,깔끔한 맛,4,15
112,달콤한 맛,6,10
113,약간 달콤한 맛,19,20
114,깔끔한 맛,4,15
115,"달콤한 맛,  상큼한 맛",7,20
116,약간 씁쓸한 맛,24,15
117,약간 씁쓸한 맛,24,30
118,과일향,2,25
119,약간 달콤한 맛,19,33
120,"새콤한 맛, 씁쓸한 맛",17,30
121,깔끔한 맛,4,10
122,약간 씁쓸한 맛,24,30
